type,text,method
p,"We believe that having an artisan community run and owned cooperative outright purchase such a beautiful building sends an important signal and pushes back against the status quo that too many have become comfortable with. Ultimately, The Anou Cooperative’s purchase will ensure that genuine artisans from across Morocco have a rent-free forever home where they can learn, design, work, and grow their businesses — all in the center of one of Morocco’s cultural and economic capitals.",selenium
p,"With purchasing the four-story building we now have quite a bit more work on top of the remaining store construction before we can officially open. While we can’t share too much about what is in store for the future, what we can share is that we’ll be redesigning the riad to support studios and training centers that will be accessible to all Anou artisans for free, particularly artisans in Fez. Equally exciting, we’ll be working with Rebecca Hoyes, a professor at Central Saint Martins to create Morocco’s premiere artist residency program to ensure the world’s best creative talent always pulses through our space and the wider Moroccan artisan community. Follow us on Instagram to keep up to date as we announce these developments in the near future.",selenium
p,"This dream would never have been possible without our donors and supporters. To every donor that made this happen, what more is there to say,  we literally bought a building. And equally, if not more important, we owe a huge thank you to anyone who ever purchased from Anou. There are many places where you can buy Moroccan craft, the best of which an artisan earns may earn a little more than what a middleman would pay. Instead, you purchased from Anou and enabled a marginalized community of artisans to transform Morocco’s crafts economy for the better. Thank you to you all.",selenium
p,"If you’re interested in supporting Anou’s long list of ambitious projects that will enable artisans to transform the fabric of Morocco’s craft economy, please do get in touch at hello@thanou.com.",selenium
a,SUSTAINABLE VINTAGE RUGS & SUSTAINABLE DYE AND WASHING TECHNIQUES,selenium
div,"Posted on September 3, 2021 under Behind The Scenes, Design",selenium
time,"September 3, 2021",selenium
span,"under Behind The Scenes, Design",selenium
a,Behind The Scenes,selenium
p,Since the very early days of Anou demand in the Moroccan rug sector has heavily focused on vintage rugs. Vintage rugs are generally defined by rugs that have faded colors with high organic color palettes. Most of what you find on Instagram or Etsy are of this ilk.,selenium
p,"Anou hasn’t focused on selling vintage rugs for four good reasons. First, we focus on living artisans and use craft to promote/increase artisan prosperity. Second, our focus is to instill a design culture within the artisan community that inspires artisans to create and design for the future. This is the opposite of the status quo which imprisons artisans to the past and tradition which leaves middlemen or non artisans to ‘contemporize’ their culture for market fit. Third, vintage rugs have no clear supply chain, meaning they can’t really be traced back to the actual artisan who made it despite what other people might post online. And lastly, if not most important, vintage rugs don’t really exist in the way that you think they do.",selenium
a,vintage rugs don’t really exist,selenium
p,"When you see something labeled as vintage, what you’re often seeing are chemically washed rugs that use chemicals that have been banned by US rug washing facilities since the 1980’s. Chemicals that caused massive lung complications in workers in the US 40 years ago are still being used today in Morocco and no one really knows. As a result of this,  harsh non-degradable chemicals are poured right into the rivers and streams artisan communities depend on. An increasing number of streams in the Khenifra region, a large center of middlemen trade, now run with brine and are no longer potable. Is rug washing the reason for this? Not really because we can look to global warming for the cause. But what we do know is that year over year there is less potable water to go around, and we as a society have decided it is ok to pour harsh chemicals into the water that is left to meet market demand driven by the aesthetics of Etsy and Instagram.",selenium
p,"As a community owned and managed cooperative, we know all too well that the biggest problems facing vulnerable communities can genuinely only be solved by those very vulnerable communities. Vintage rugs are a case in point. Until now, there has been no change driven by middlemen or foreigners in this space because there are no financial incentives for them to change a really good business model. So, as with many problems facing the artisan community, it is up to artisans to solve it and Anou and the artisan community must do the work if we ever want this to change. We look forward to seeing captions of Instagram posts start to change as soon as we post this, but don’t let that fool you, words on Instagram aren’t change.",selenium
p,"So today we’re incredibly excited to show a sneak peek at some of the research and development behind the scenes at the Anou community & our partners at the Atlas Wool Supply Co. Cooperative Lfarah took the lead on this and has produced the best trial rug created thus far by the community and we felt the time was right to share the progress to date. When the rug arrived at Anou’s Fes store for inspection, artisan leaders Rachida (Cooperative Tiglmamin) and Naima (Cooperative Tighdouine) went to our friends at Riad Mabrouka to photograph this beautiful rug. Here are some of our favorite images:",selenium
a,Cooperative Lfarah,selenium
a,Riad Mabrouka,selenium
figcaption,Photos by Naima of Cooperative Tighdouine (left) and Rachida of Cooperative Tiglmamin (right),selenium
p,"Cooperative Lfarah created the fades and gradients of vintage rugs through the use of full exhaust dyes, sustainable mordants, and no chemicals. Further, this rug used pilot washing techniques to reduce water consumption by about 50% off of standard middlemen practices.  Even better, with our control over the dye process and color system, LFarah will be able to remake a nearly identical rug for any commission request if their customer requests it. Interested in placing a custom order of this rug? You can do so at Cooperative Lfarah’s online store.",selenium
a,Cooperative Lfarah’s online store,selenium
p,"There is still an immense amount of work to be done to perfect this process. We’ve put a call out to Anou’s design mentors from around the world to help provide mentorship and guidance for groups across the community to practice and implement some of the techniques. This way we can ensure the dissemination of these techniques across the artisan community so there is no risk of such skills being used as leverage by middlemen over artisans.  Further, we’ve used our research to inform how we’ll build Moroccos’ first zero impact, closed loop rug washing facility at the Atlas Wool Supply Co mill (hint: the facility will be built on top of the factory.  As we make progress, we’ll be sure to announce it all here.",selenium
p,"A huge thank you is in order for everyone who has made a purchase from Anou and those who will make purchases in the future, this includes our individual customers as well as our larger partners. Each order you place, through the order itself or the contribution made from any purchase on Anou’s marketplace, enables the artisan community to make progress in this research…and hopefully, god willing, solve this problem once and for all.",selenium
strong,The Women of Cooperative LFarah at Work,selenium
figcaption,Custom Dye Work @ The Atlas Wool Supply Co Studio,selenium
figcaption,Cooperative of LFarah Preparing the Warp,selenium
figcaption,Figuring out how to blend gradient dyed wool.,selenium
figcaption,"Fatima, President of Cooperative LFarah Leading the Way",selenium
a,Leave a comment,selenium
a,ANOU TECH UPDATES: BRINGING ARTISANS AND THEIR CUSTOMERS CLOSER TOGETHER,selenium
div,"Posted on June 14, 2021 under Behind The Scenes, Features",selenium
time,"June 14, 2021",selenium
span,"under Behind The Scenes, Features",selenium
a,Behind The Scenes,selenium
p,"Over the past several months we’ve been working hard on our beta custom order system. Previously, when a customer had a rug custom made for them, most of the progress and data of the order sat in a system that was only accessible to the artisan team or Anou mentors.",selenium
p,"This meant custom order data and its progress had to be sent to artisans as well as the customer, which created more mistakes than we’d like to admit. Our old system pushed the limits of our technical capacity, but times have changed and our tech capacity is improving. Now when you start a custom order on Anou, all major interactions such as receiving a quote, paying for an order, and even shipping all happen directly between the customer and the artisan. Anou’s mentors and artisan team only get involved when there is a problem.",selenium
strong,"all major interactions such as receiving a quote, paying for an order, and even shipping all happen directly between the customer and the artisan.",selenium
strong,Taking down barriers between artisans and customers,selenium
p,"Our favorite new feature is the progress feature. Whenever a custom order starts, artisans now have an easy way to directly submit progress photos and videos to the customer. Artisans can use Whatsapp or a simple browser to seamlessly share photos of their custom work. This wonderful new feature already allowed dozens of our current customers to follow the progress of their custom product in real time !",selenium
p,"Since we launched our beta, artisans across the Anou community have sent over 1,400 progress photos to their customers. We’re also testing out fun ways to enable customer and artisan interaction. For example, we introduced a beta feature where customers can send emoji responses for each progress update which are sent directly to the artisan who submitted the progress update. Over 500 emojis have been sent to date directly to the phones of artisans!",selenium
strong,"artisans across the Anou community have sent over 1,400 progress photos to their customers",selenium
h2,Why does this matter?,selenium
strong,Why does this matter?,selenium
p,"First, this new feature fully automates the needless labor of all the middlemen you find on Instagram and elsewhere, who serve as a gatekeeper between artisans and their final customers.",selenium
p,"Second, it enables artisans to do the work of photographing and sharing themselves. This ensures they learn these valuable digital skills, especially in today’s online commerce landscape. These skills will remain once the order is fulfilled, and are one more step towards artisans’ business independence.",selenium
p,"Lastly, and perhaps most importantly, it enables artisans to create their own unfiltered content. Content that is true to their own vision, and that they can keep and reuse on their own social media accounts and soon, websites. For way too long, morccan craft-related content was made, owned and kept by intermediaries, not artisans. We believe putting artisans in charge of content production is long overdue.",selenium
strong,it enables artisans to create their own unfiltered content,selenium
strong,A real life example,selenium
p,Our favorite updates lately have been from Association Tadighoust. The updates feature a mix of progress photos and touching videos of women working and singing traditional songs while making their rugs. Check out all the progress photos on our sample custom order page.,selenium
a,Association Tadighoust,selenium
a,on our sample custom order page,selenium
p,"Such spontaneous videos created by artisans themselves, shared directly with their customers who then send emojis of encouragement in return represent a joy that seems to have been missing from craft for some time.",selenium
p,"While there is always more work to be done, we couldn’t be more excited to be bringing some joy back into craft !",selenium
a,DESIGN SPOTLIGHT: ZAHRA OF ASSOCIATION AFOUS GAFOUS,selenium
div,"Posted on May 14, 2021 under Artisan Products, Design, Meet the Cooperatives",selenium
time,"May 14, 2021",selenium
span,"under Artisan Products, Design, Meet the Cooperatives",selenium
a,Artisan Products,selenium
a,Meet the Cooperatives,selenium
p,"Association Afous Gafous weaves uniquely beautiful rugs. Their rugs are always handmade, and almost always dyed with natural dyes. The group is one of the most active groups on Anou, working hard to try and develop new designs and ideas to evolve their craft.",selenium
a,Association Afous Gafous,selenium
p,"One of the Afous Gafous’ rising stars in design, Zahra Amzil, was watching a traditional Amazigh film where the protagonist tries to set up a cooperative and visits many shops in their pursuit.",selenium
a,Afous Gafous’,selenium
p,"Inspired by all the rugs shown, Zahra came up with an idea : mixing in designs from the film with inspiration of her own and a new technique (Zanafi style) she learned from a recent custom order. She immediately began to sketch the idea out on paper:",selenium
strong,"Inspired by all the rugs shown, Zahra came up with an idea",selenium
figcaption,Zahra’s initial sketch on paper,selenium
p,She took the initial design and worked the Anou’s artisan mentors to figure out sizing and colors.,selenium
p,She decided on using leftover yarns first to try out the idea. She ended up going with grey yarn for the design and a naturally dyed brown from onion shell for the base.,selenium
strong,naturally dyed brown from onion shell,selenium
p,"With the specifics now figured out, she immediately got to work and made this first prototype at home:",selenium
figcaption,Zahra’s getting to work on her prototype,selenium
p,"A couple of weeks later, she finally finished the rug and posted the finished rug on Anou:",selenium
a,the finished rug on Anou,selenium
figcaption,"When this rug sells, Zahra plans to use the money to buy all her children school supplies.",selenium
a,More photos of Zahra’s new creation.,selenium
p,"Zahra is already thinking about making a variation of this rug using new colors. Encouraged by her first creative experience, she is already envisioning new designs which we are sure will make for beautiful rugs.",selenium
p,Congrats Zahra on your beautiful new design ! We can’t wait to see more from you.,selenium
p,"Explore all creations from Association Afous Gafous in Ouarzazate, Morocco.",selenium
a,"Association Afous Gafous in Ouarzazate, Morocco.",selenium
strong,The Anou Artisans,selenium
a,Leave a comment,selenium
a,MEET THE COOPERATIVE – #1 COOP. ASNLI FROM IMMOUZER MARMOUCHA,selenium
div,"Posted on April 27, 2021 under Community, Meet the Cooperatives",selenium
time,"April 27, 2021",selenium
span,"under Community, Meet the Cooperatives",selenium
a,Meet the Cooperatives,selenium
h2,The genesis of this Series,selenium
p,"As we hope most of you know, at the core of our mission is a deep belief in removing all barriers between moroccan artisans and their customers all over the world.",selenium
p,"Usually, when we talk about this mission, the first thing that comes to mind is empowering artisans to get rid of predatory middlemen. And for a good reason, since it is indeed the main motivation that go Anou started.",selenium
p,"However, a less talked about aspect of our mission is encouraging artisans tell their stories directly, without filters or moderation.",selenium
strong,encouraging artisans tell their stories directly,selenium
p,Why is this important ? Couldn’t we just have shared their stories in our own words ?,selenium
p,"Allowing artisans to tell their stories in their own words matters for a couple of reasons. First and most obviously, who better to tell the story than the people who live it every day ?",selenium
p,"Second and most importantly, it ties back to our long term goal of empowering artisans to become independent business owners. Storytelling is such an important part of how businesses are run in our time (and we could argue, in all times). So we want Anou artisans to develop the skills to tell their own stories.",selenium
h2,Introducing “Meet the Cooperative”,selenium
p,"For all the reasons above, we are very excited to introduce the first post of a new series featuring Anou artisans.",selenium
p,"In this series, our Marketing mentor at Anou will regularly interview some of our favorite cooperatives members. He will ask them about how they got started, the challenges they faced and what their hopes for the future were. For many of them, this is the first time anyone had asked about their life stories. The result is a series of raw and honest video interviews that we will share with you on Instagram first and then on the blog.",selenium
a,that we will share with you on Instagram,selenium
p,"For the very first post, we sat down with Aicha Bertal, president of Cooperative Asnli. If you’d rather watch the video, scroll down to the end of the post for the video interview with Aicha.",selenium
a,Cooperative Asnli,selenium
a,to the end of the post,selenium
sub,"The region of Immouzer Marmoucha, where Cooperative Asnli is located",selenium
h2,"Aicha Bertal, from Cooperative Asnli",selenium
p,"Youssef :
Hello Aicha, I’m happy to have you with us. Could you please introduce yourself ?",selenium
p,"Aicha :
Sure. I’m Aicha Bertal, born in 1987, married and mother of three. I’m the president of cooperative Asnli in Immouzer Marmoucha.",selenium
a,Immouzer Marmoucha,selenium
p,"Youssef :
Could you tell us a bit about how you got started ?",selenium
p,"Aicha :
When we arrived in Immouzer, we used to make rugs with a group of women, usually 3 or 4 women from neighbours and family. When we would finish our rugs, there were these people (middlemen) who would buy the rugs from us. So whenever we finished a rug, we would take it to the side of the rug for the middlemen to see it. They then would buy the rugs from us at a very low price.",selenium
p,We kept working this way until one day we thought :,selenium
p,"Why not unite, start a cooperative, and find a way to market our products ?",selenium
p,"And this is what we did. During the early days of the cooperative, we continued working the old way (with middlemen), making rugs and selling them at a very low price.",selenium
p,"About 2 years ago, we came across Anou. Through it, we found out that our products were quite popular, the prices higher than we thought and soon our cooperative became well known. We started to sell, not only in Morocco, but abroad now !",selenium
p,"This motivated us to make great efforts to improve our rugs, incorporate new designs into them and go forward with our craft.",selenium
a,Black & White flatweave by Coop. Asnli,selenium
a,White Beni Ourain by Coop. Asnli,selenium
p,"Youssef :
A true success story ! And how was your experience working with the Anou team ?",selenium
p,"Aicha :
We learned a lot. Before, we didn’t use to pay that much attention to the colors or the wool we used. Now, for each product we’re about to make, we make sure the colors go well together, and that the wool is of good quality. We also make sure that the rug won’t unravel later. Overall, we pay excellent attention to end up with a good quality rug.",selenium
p,"A problem we used to face is getting custom orders for a specific design. It was hard to us to translate that pattern on the rug. The calculations were difficult to get right. But now, thanks to Meriem’s plan (Anou’s production manager), we know how the rug is advancing. Now, we have almost 100% certainty about how the final rug is going to look like, and that the pattern will be correct. Using a plan made things so much easier.",selenium
p,"Youssef :
This all sounds wonderful. Finally, what are your goals for the future ?",selenium
p,"Aicha :
My goal, and that of all cooperative members, is to expand our cooperative and introduce it to as many people as possible. Most importantly, we want to be recognized for our hard work and we want this hard work to pay off for us. We want the cooperative to thrive !",selenium
strong,we want this hard work to pay off for us,selenium
p,"Youssef :
Thank you so much Aicha.",selenium
p,"We hope you enjoyed this little interview with Aicha ! If you’d like to know more about Asnli and view some of their beautiful designs, visit their page on Anou.",selenium
a,visit their page on Anou,selenium
a,Colored Beni Ourain Rug by Coop. Asnli,selenium
a,White & Black Beni Ourain Rug by Coop. Asnli,selenium
p,See you soon for episode #2 !,selenium
h2,The video recording of the interview,selenium
a,Leave a comment,selenium
a,BREAKING GROUND : AFRICA’S FIRST CARBON-NEGATIVE YARN,selenium
div,"Posted on March 25, 2021 under Behind The Scenes, Initiatives, Vision",selenium
time,"March 25, 2021",selenium
span,"under Behind The Scenes, Initiatives, Vision",selenium
a,Behind The Scenes,selenium
a,Initiatives,selenium
h2,The genesis of the Atlas Wool Supply Co.,selenium
p,"In response to finding toxic chemicals in dyes and materials artisans used in Morocco several years ago, The Anou Cooperative launched a trial initiative called the Atlas Wool Supply Co.",selenium
p,"Our goal was to provide artisans and the wider craft community in Morocco with high quality wool, dyes and other materials that were safe for artisans, their environment, and their customers.",selenium
strong,"safe for artisans, their environment, and their customers",selenium
p,"Since then, we have shipped tens of thousands of kilograms of wool and materials to artisans across Morocco. We’ve also developed deep expertise in wool, dyes, and their environmental impact gleaned from years of learning from mistakes, difficult lessons and trial and error.",selenium
strong,we have shipped tens of thousands of kilograms of wool,selenium
p,"The world since then has changed as well. Rising global temperatures, rapid rates of land degradation and a global pandemic. This has pushed us to ask ourselves : how can we create material that is not only safe, but material that actually regenerates the land and environment where artisans live?",selenium
strong,material that actually regenerates the land and environment where artisans live?,selenium
h2,Moving forward with Africa’s first carbon negative wool,selenium
p,"Today marks the next phase of the Atlas Wool Supply Co. This past week in the High Atlas Mountains, we broke ground on building Morocco’s only integrated wool and yarn mill that aims to become carbon negative.",selenium
em,Tractor breaks ground for the upcoming Atlas Wool Supply Co. mill in Ait Bouguemez,selenium
p,"Set in Ait Bouguemez, the future mill is not only the first of its kind in Africa, it’s also the first significant economic project in the area. This matters because Ait Bouguemez belongs to a region usually forgotten in economic development initiatives, where employment opportunities are limited and heavily dependent on tourism.",selenium
a,Ait Bouguemez,selenium
strong,the first significant economic project in the area,selenium
em,Water successfully found !,selenium
p,"In parallel, in the upcoming weeks, we will also complete the construction of our carbon neutral dye studio, as well as a flagship yarn store in the old city of Fez.",selenium
strong,carbon neutral dye studio,selenium
p,"As construction continues, we will slowly be opening our physical and digital stores to a select number of (patient) customers willing to join this journey and take part as beta testers. If you’re interested in taking part, you can register on the Atlas Wool Supply Co website.",selenium
strong,a select number of (patient) customers,selenium
a,Atlas Wool Supply Co website,selenium
p,"As we work to our official launch later this year, we will continue to share our progress on the blog and via our newsletters. Please help us spread the word by forwarding our newsletters, sharing our Instagram content and website.",selenium
strong,we will continue to share our progress,selenium
p,Thank you to everyone who has contributed to the Atlas Wool Supply Co thus far and thank you for your continued support.,selenium
p,The Anou Artisans,selenium
a,BUYING AND SOURCING MOROCCAN VINTAGE RUGS: WHAT YOU NEED TO KNOW,selenium
div,"Posted on December 14, 2020 under Advice",selenium
time,"December 14, 2020",selenium
span,under Advice,selenium
p,"Moroccan vintage rugs don’t really exist. This simple fact is all you actually need to know when determining whether that person who is selling you a Moroccan vintage rug is fundamentally honest about what they do and the impact their work has on the artisan community. This alone should be the blog post, but let’s dive deep into the weeds of the vintage world and provide clarity about what vintage actually means.",selenium
strong,Common Sense,selenium
p,"The term vintage is used to refer to something from the past of high quality, something that represents the best of its kind from a certain era, and to some degree, a bit rare. While debateable, 20 years seems to be the consensus around when something becomes vintage.",selenium
p,"For Moroccan rugs that are actually older than 20 years, or pre 2000, they are often actual collector items collected by people who actually know. There is a direct correlation between the age of a rug and how likely it is to end up in an actual private collection. Older, vintage rugs are simply not going to end up on Instagram and Etsy at a price lower than what it actually takes artisans to weave a rug today.",selenium
p,So how is it possible that Etsy and Instagram are seemingly endless feeds of vintage rugs? Something isn’t adding up.,selenium
strong,The Process of Rug Vintage-ification,selenium
p,"Looking at that endless list of rugs on Instagram and Etsy, it certainly looks like those rugs are really old. But the reality is that the faded, sun swept worn look is manufactured through a process that conceals both the rug’s actual origin and the people who made it.",selenium
p,"These vintage-ified rugs go through a multi-step process to achieve that look and feel. The first step is to have the rug made by living, existing artisans usually under the direction of your standard Moroccan ‘middleman’. The primary hubs where these rugs are made are in Khenifra, Kenitra and Taznakht. The artisans who make these rugs earn as little as 5 dirham a day and they sometimes may be a part of some loose collective of people, a cooperative in name only, or just weave at home. These artisans do not design. They are simply given print outs from Instagram and asked to remake the intricate and often time consuming designs you find online. The lack of jobs and opportunities in these areas is what drives artisans to work for less than 5% of minimum wage.",selenium
p,"What happens after the rug is made depends on the complexity of the middleman operation. It is important to note that the complexity tends to fall along gender lines. The vast majority of middlemen of rugs, are in fact women.",selenium
p,"Middlewomen-led supply chains of vintage rugs follow more simpler means of vintage-ification. A middlewoman will buy a rug from some other weaver, but before taking it instruct them to cover the rug in dirt, and then to walk over it in their home for a period of time and lay it out in the sun for an extended period of time. Dyes available for purchase by artisans are not of much quality (look for powdery bags of bright colors on images on Instagram) and are not light fast. So placing dirt on the rug and sun placement can get a rug to have a much older feel. Anou is well versed in this process because every cooperative we’ve banned from Anou for reselling rugs followed this process extensively. This was generally a tip that members of a cooperative we were working with were simply buying and reselling rugs on Anou.",selenium
p,"For middlemen, the process is often much more advanced. Once a rug is woven, the rug goes through an extensive washing process designed to stress and age the rug. Through a lot of extensive research, we’ve been able to reverse engineer these processes and have largely determined that there are two primary ways. The first is through the use of simple household bleach. The catch is that you need a lot of it. To replicate the vintage process through bleach, you often need to use a 1:1 water to bleach solution for one full wash interval of the rug. It can take 100 liters sometimes to fully soak a large wool rug, and each rug that goes through this process is washed 1-3 times on average.",selenium
p,"Keep in mind Bleach doesn’t bio decompose, so for every rug you see on Etsy and Instagram, that’s countless liters of bleach poured directly into the rivers that the artisans who made the rug depend on. The amount of times a rug is washed and goes through such a bleaching process can vary. Other chemicals, heavy in sulfur, can also be used to cut down time to create faded looks on rugs but increase the toxicity to levels we don’t quite understand. We’re still testing the effects of these other means. Ultimately, if you Google Moroccan rug washing and you’ll see people are wearing boots for a reason.",selenium
p,"Once a rug is dry, the rug then is often literally blow torched to burn out plastics that are often found in Morocan yarns and also helps promote color fading and the general feel of the rug. These processes aren’t necessarily a secret, there are ample videos on Youtube of people showing off this process on Youtube.",selenium
strong,Other Forms of Domestic Production,selenium
p,"With oceans of bleach and literal blow torches, how can such distortion be believed for so long? One reason why people might believe that all those vintage rugs on Etsy and Instagram are real is because one might assume that artisans still weave and weave things for their home and family. And as these rugs age they might get rid of them. This is correct. However, this alone doesn’t justify the vast volume of vintage rugs for many reasons.",selenium
p,"First, is that your average artisans doesn’t necessarily value traditional design and traditional materials. Visit rural areas where many rugs are produced, and their homes may be adorned with rugs, but those rugs will be made of cheap acrylics because these are cheaper and they are perceived to be modern.",selenium
p,"Second, traditional designs are much more complicated to make and require time and money to make. Today’s genuine artisans have neither, so they don’t naturally gravitate towards the complexity of traditional work. Even well off artisans often don’t touch traditional designs. The most successful cooperatives on Anou, who earn a meaningful wage don’t gravitate towards complexity of traditional designs without the coaching of a design mentor.",selenium
p,"The complex rugs that we perceive to be vintage and traditional are really of a bygone era because the generations that created these gallery quality rugs no longer exist. Since those generations, the market for traditional rugs and such designs has placed such a low value on them, that subsequent generations have not taken up the craft. The rather cruel irony is that in an age where Moroccan rugs are now a global phenomenon, the vintage-ifcation of rugs promoted by Instagram and Etsy have led to a commodification of Morocco’s culture and eroded any market that was once able to support the genuine product of traditional Moroccan rugs.",selenium
p,"Today’s intricate and traditional rug designs are made in the middleman supply chain made by people desperate for money. In other words, there are not enough people simply weaving memories in their home to support the stories sold on Instagram.",selenium
strong,Family Heirlooms,selenium
p,"The only place where genuine vintage rugs still exist are in people’s homes. These rugs are most often woven by family members who, with each passing year are more likely to have passed on. Let’s be real, no one holds on to anything for 20 year and gives it away without the breaking of some emotional attachment. So to think of the despair and grief a person or family must be going through to make a decision to sell or give away something made by previous generations is simply indescribable.",selenium
p,"In a poor remote town called Talsint, an area that once used to be one of the most prized rug producing areas of Morocco, the process of separating people from their cherished family heirlooms occurs in almost regular fashion. But it’s worse than you think. Every so often rug sellers descend into Talsint and knock on the doors looking for people in need and willing to sell their family’s rugs. And instead of money, families are so desperate they are willing to trade the rugs for cheap synthetic blankets and other basic essentials. The rugs they collect, all get loaded into a car, and are driven to a warehouse in Meknes and sold on some random Etsy account. When we see genuine vintage rugs the only story we can see is one of grief and despair.",selenium
strong,Entrenched Problems,selenium
p,"Finding a solution for this is incredibly complicated. Take your average Instagram seller of rugs. You might overlook an interesting pattern. These sellers claim that they are ending artisan exploitation, or that they enable you to buy direct from artisans, or even ignorantly claiming to be Everlane of Morocco. But look at their shops and the majority of what they will sell are actually vintage pieces. Some shops explicitly label them as vintage, or even more depressing, as family heirlooms. Look even closer, and you might notice that all the imagery of the rugs they sell are mixed with images of artisans, but a minority of those pictures actually show the artisan making what is being sold because most of the top selling product are vintage-ified rugs that weren’t made by the artisans they showcase.",selenium
p,"The sad reality is that many artisan cooperatives require immense amounts of time and training to meet specific levels of quality. As we discussed above, the generations of deep artisan skill has passed and it needs to be rebuilt. Instagram brands that are good at marketing can’t afford to do the real work of artisan development. So they supplement their business with selling vintage-ified rugs made by people they don’t even know, and then use the proceeds from what is exploitive labor to give back to a small community of their choosing. This creates the veneer of change, but instead simply accelerates the decline of the artisan community.",selenium
p,"Worse, the brands themselves don’t even know the damage they are creating. Anou does extensive work in verifying artisans and it is one of the hardest things we do. While we’ve now been doing this for nearly a decade, we still don’t always get it right. It is difficult, unglamorous work.",selenium
strong,The Solution,selenium
